x,y,Prediction1,Prediction2,prediction_rescale1,prediction_rescale2,X,Y1,Y2
-1.7220098972320557,-1.042378544807434,-0.6498483,-1.011631,-0.32001904,285.05878,1850,-0.41765878,284.001634023458
-1.7018693685531616,-0.9514436721801758,-0.67701787,-0.9810788,-0.3298592,286.1092,1851,-0.2333498,287.12811313142
-1.6817289590835571,-0.9424628019332886,-0.6778518,-0.98266286,-0.33016124,286.05475,1852,-0.22939907,287.436887914256
-1.661588430404663,-0.9334819912910461,-0.6761477,-0.9788798,-0.32954407,286.1848,1853,-0.27035445,287.745662697091
-1.6414480209350586,-0.9245011806488037,-0.6769675,-0.97809905,-0.32984096,286.21164,1854,-0.29163003,288.054437479927
-1.6213074922561646,-0.996890664100647,-0.6778575,-0.9771535,-0.3301633,286.24417,1855,-0.2969512,285.56557722684
-1.60116708278656,-1.031843662261963,-0.67876154,-0.9761433,-0.33049074,286.2789,1856,-0.32035372,284.363838987192
-1.581026554107666,-1.0667966604232788,-0.67972356,-0.9750449,-0.33083916,286.31665,1857,-0.46723005,283.162100747545
-1.5608861446380615,-1.0163193941116333,-0.6807969,-0.9738789,-0.3312279,286.35675,1858,-0.3887657,284.89758817961
-1.5407456159591675,-0.9658420085906982,-0.681938,-0.97261894,-0.33164117,286.40005,1859,-0.28119546,286.633075611675
-1.520605206489563,-0.9605922698974609,-0.6831761,-0.9712673,-0.3320896,286.44653,1860,-0.39016518,286.8135711321
-1.500464677810669,-0.9553424715995789,-0.68451357,-0.9698158,-0.33257398,286.49643,1861,-0.42927712,286.994066652526
-1.4803242683410645,-0.9500926733016968,-0.685956,-0.96825665,-0.33309639,286.55005,1862,-0.53639776,287.174562172951
-1.4601837396621704,-1.0030642747879028,-0.6875132,-0.9665832,-0.33366036,286.60757,1863,-0.3443432,285.353318757156
-1.440043330192566,-0.9652288556098938,-0.6891921,-0.96478695,-0.33426845,286.66934,1864,-0.4654367,286.654158160582
-1.4199028015136719,-0.9807591438293457,-0.6910022,-0.9628596,-0.33492398,286.7356,1865,-0.33258784,286.120202866444
-1.3997623920440674,-0.9962894320487976,-0.69295233,-0.9607921,-0.3356303,286.8067,1866,-0.34126064,285.586247572306
-1.379621982574463,-1.0118197202682495,-0.6950524,-0.9585753,-0.3363909,286.8829,1867,-0.35696334,285.052292278169
-1.3594814538955688,-0.9038574695587158,-0.69731253,-0.956199,-0.33720946,286.9646,1868,-0.35196072,288.76419810736
-1.3393410444259644,-0.9272429943084717,-0.69974357,-0.95365274,-0.33808994,287.05215,1869,-0.31657043,287.960168026164
-1.3192005157470703,-0.9506285786628723,-0.702357,-0.9509257,-0.33903646,287.1459,1870,-0.32789087,287.156137944967
-1.2990601062774658,-0.9554862380027771,-0.7051644,-0.94800645,-0.3400532,287.24628,1871,-0.3685807,286.989124208999
-1.2789195775985718,-0.9603438973426819,-0.7081782,-0.9448829,-0.34114474,287.35367,1872,-0.32804197,286.822110473032
-1.2587791681289673,-0.9652015566825867,-0.7114114,-0.94154274,-0.34231573,287.4685,1873,-0.34133235,286.655096737064
-1.2386386394500732,-0.8225929141044617,-0.71487725,-0.93797314,-0.343571,287.59125,1874,-0.3732512,291.558197465839
-1.2184982299804688,-0.8442137241363525,-0.71858925,-0.93416065,-0.3449154,287.72232,1875,-0.37562594,290.814841998807
-1.1983577013015747,-0.8658344745635986,-0.7225618,-0.9300917,-0.34635413,287.8622,1876,-0.42410994,290.071486531774
-1.1782172918319702,-0.8874552845954895,-0.72680914,-0.92575234,-0.34789246,288.0114,1877,-0.101108834,289.328131064742
-1.1580767631530762,-0.9025545120239258,-0.7313461,-0.9211282,-0.34953558,288.17038,1878,-0.011315193,288.808997106417
-1.1379363536834717,-0.9176537394523621,-0.7361874,-0.91620487,-0.35128903,288.33966,1879,-0.30363432,288.289863148092
-1.1177958250045776,-0.9327529072761536,-0.74134797,-0.910968,-0.35315806,288.5197,1880,-0.31583208,287.770729189767
-1.0976554155349731,-0.8872516751289368,-0.74684274,-0.90540284,-0.35514814,288.71106,1881,-0.23224552,289.335131057852
-1.077514886856079,-0.84175044298172,-0.75268644,-0.89949507,-0.35726458,288.91418,1882,-0.29553008,290.899532925936
-1.0573744773864746,-0.7962492108345032,-0.7588934,-0.8932305,-0.35951257,289.12955,1883,-0.3464744,292.463934794021
-1.0372339487075806,-0.8826162219047546,-0.7654776,-0.8865953,-0.36189723,289.3577,1884,-0.49232006,289.494506014475
-1.017093539237976,-0.9026668071746826,-0.7724524,-0.8795763,-0.36442333,289.599,1885,-0.47112358,288.805134857227
-0.9969530701637268,-0.9227174520492554,-0.77983004,-0.87216103,-0.36709535,289.85394,1886,-0.42090362,288.115763699979
-0.9768126010894775,-0.7416310906410217,-0.7876223,-0.8643379,-0.3699175,290.12292,1887,-0.49878576,294.341787467286
-0.9566721320152283,-0.7707077860832214,-0.79583925,-0.85609615,-0.3728935,290.40628,1888,-0.37937889,293.342087703282
-0.936531662940979,-0.7997844219207764,-0.8044897,-0.84742695,-0.37602645,290.70435,1889,-0.24989556,292.342387939277
-0.9163911938667297,-0.8412266969680786,-0.81358063,-0.8383222,-0.379319,291.0174,1890,-0.50685817,290.917539404626
-0.8962507247924805,-0.7793564200401306,-0.82311743,-0.82877606,-0.38277304,291.3456,1891,-0.40131494,293.044734332431
-0.8761102557182312,-0.7174860835075378,-0.8331033,-0.8187844,-0.38638967,291.68912,1892,-0.5075585,295.171929260236
-0.8559697866439819,-0.7199288010597229,-0.8435387,-0.8083452,-0.39016908,292.04803,1893,-0.49461925,295.087946758864
-0.8358293175697327,-0.7664729952812195,-0.85442203,-0.79745895,-0.3941108,292.42233,1894,-0.48376393,293.487686174808
-0.8156888484954834,-0.7509022355079651,-0.86574876,-0.7861282,-0.3982131,292.8119,1895,-0.4487516,294.023031139795
-0.7955484390258789,-0.7353315353393555,-0.8775113,-0.7743589,-0.4024732,293.21655,1896,-0.28400728,294.558376104782
-0.7754079699516296,-0.7197608351707458,-0.8896995,-0.76215905,-0.40688747,293.636,1897,-0.25980017,295.093721069768
-0.7552675008773804,-0.7041901350021362,-0.90229934,-0.74953985,-0.4114508,294.06985,1898,-0.48579213,295.629066034755
-0.7351270318031311,-0.6886193752288818,-0.915294,-0.7365158,-0.4161572,294.51764,1899,-0.35543364,296.164410999742
-0.7149865627288818,-0.7451523542404175,-0.9286632,-0.7231043,-0.42099917,294.97876,1900,-0.23447904,294.220721600033
-0.6948460936546326,-0.724939227104187,-0.9423832,-0.7093255,-0.42596823,295.45248,1901,-0.29342857,294.915679215004
-0.6747056245803833,-0.7047260999679565,-0.9564276,-0.69520295,-0.43105477,295.93805,1902,-0.43898427,295.610636829975
-0.654565155506134,-0.6991894245147705,-0.97076577,-0.6807633,-0.43624777,296.4345,1903,-0.5333264,295.800997323311
-0.6344246864318848,-0.6936526894569397,-0.9853651,-0.6660355,-0.4415353,296.94086,1904,-0.5975614,295.991357816648
-0.6142842173576355,-0.6054588556289673,-1.0001898,-0.6510514,-0.44690442,297.45605,1905,-0.40775132,299.023596617836
-0.5941437482833862,-0.6213411092758179,-1.0152016,-0.6358453,-0.45234132,297.97885,1906,-0.3191393,298.477540755496
-0.574003279209137,-0.5919978618621826,-1.0303607,-0.62045085,-0.45783162,298.50815,1907,-0.5041577,299.486405638546
-0.5538628101348877,-0.5626546144485474,-1.0456517,-0.60484004,-0.4633696,299.04486,1908,-0.5138707,300.495270521595
-0.5337223410606384,-0.5333114266395569,-1.0610026,-0.58912194,-0.4689294,299.58527,1909,-0.5357649,301.504135404644
-0.5135818719863892,-0.6390376687049866,-1.0730085,-0.57644004,-0.47327763,300.0213,1910,-0.5310242,297.869106791623
-0.4934414327144623,-0.6246595978736877,-1.0719434,-0.57542825,-0.47289187,300.0561,1911,-0.5392051,298.363446613478
-0.473300963640213,-0.5819872617721558,-1.0552491,-0.5716351,-0.46684557,300.1865,1912,-0.47567302,299.8305864181
-0.45316049456596375,-0.5393149256706238,-1.0086502,-0.56254023,-0.44996858,300.4992,1913,-0.46715254,301.297726222721
-0.4330200254917145,-0.556697428226471,-0.9621697,-0.55344415,-0.43313444,300.81192,1914,-0.2625924,300.700088656092
